Company,Symbol,companyLow,companyFinal
Achaogen ,AKAO,achaogen ,achaogen
Achillion Pharmaceuticals ,ACHN,achillion pharmaceuticals ,achillion pharmaceuticals
ACI Worldwide ,ACIW,aci worldwide ,aci worldwide
Aclaris Therapeutics ,ACRS,aclaris therapeutics ,aclaris therapeutics
Acme Packet ,APKT,acme packet ,acme packet
ACNB oration,ACNB,acnb oration,acnb oration
Acorda Therapeutics ,ACOR,acorda therapeutics ,acorda therapeutics
Actions Semiconductor Co  (ADR),ACTS,actions semiconductor co  (adr),actions semiconductor co
Activision Blizzard,ATVI,activision blizzard,activision blizzard
Actua ,ACTA,actua ,actua
Actuate  (Inactive),BIRT,actuate  (inactive),actuate (inactive)
Acxiom oration,ACXM,acxiom oration,acxiom oration
Adamas Pharmaceuticals ,ADMS,adamas pharmaceuticals ,adamas pharmaceuticals
Adamis Pharmaceuticals ,ADMP,adamis pharmaceuticals ,adamis pharmaceuticals
Adams Golf  (Inactive),ADGF,adams golf  (inactive),adams golf
Adaptimmune Therapeutics   ADR,ADAP,adaptimmune therapeutics   adr,adaptimmune therapeutics
Addus Homecare oration,ADUS,addus homecare oration,addus homecare oration
ADDvantage Technologies Group ,AEY,addvantage technologies group ,addvantage technologies group
Adept Technology ,ADEP,adept technology ,adept technology
Adesto Technologies ,IOTS,adesto technologies ,adesto technologies
ADMA Biologics ,ADMA,adma biologics ,adma biologics
Adobe ,ADBE,adobe ,adobe
Adolor oration (Inactive),ADLR,adolor oration (inactive),adolor oration (inactive)
ADTRAN ,ADTN,adtran ,adtran
Aduro BioTech ,ADRO,aduro biotech ,aduro biotech
Advance Auto Parts,AAP,advance auto parts,advance auto parts
Advanced Accelerator Application SA(ADR),AAAP,advanced accelerator application sa(adr),advanced accelerator application
Advanced Analogic Technologies orp (Inactive),AATI,advanced analogic technologies orp (inactive),advanced analogic technologies
Advanced Emissions Solutions ,ADES,advanced emissions solutions ,advanced emissions solutions
Advanced Energy Industries ,AEIS,advanced energy industries ,advanced energy industries
Advanced Inhalation Therapies AIT ,AITP,advanced inhalation therapies ait ,advanced inhalation therapies
Advanced Micro Devices ,AMD,advanced micro devices ,advanced micro devices
Advaxis ,ADXS,advaxis ,advaxis
Advent Software ,ADVS,advent software ,advent software
Adverum Biotechnologies ,ADVM,adverum biotechnologies ,adverum biotechnologies
Aegerion Pharmaceuticals ,AEGR,aegerion pharmaceuticals ,aegerion pharmaceuticals
Aegion ,AEGN,aegion ,aegion
Aeglea Bio Therapeutics ,AGLE,aeglea bio therapeutics ,aeglea bio therapeutics
Aehr Test Systems,AEHR,aehr test systems,aehr test systems
Aemetis ,AMTX,aemetis ,aemetis
AEP Industries ,AEPI,aep industries ,aep industries
Aerie Pharmaceuticals ,AERI,aerie pharmaceuticals ,aerie pharmaceuticals
AeroVironment ,AVAV,aerovironment ,aerovironment
AES ,AES,aes ,aes
AEterna Zentaris  (USA),AEZS,aeterna zentaris  (usa),aeterna zentaris
Aethlon Medical ,AEMD,aethlon medical ,aethlon medical
Affimed NV,AFMD,affimed nv,affimed nv
Affymetrix ,AFFX,affymetrix ,affymetrix
AFLAC ,AFL,aflac ,aflac
AgEagle Aerial Systems ,UAVS,ageagle aerial systems ,ageagle aerial systems
Agenus ,AGEN,agenus ,agenus
Agile Therapeutics ,AGRX,agile therapeutics ,agile therapeutics
Agilent Technologies ,A,agilent technologies ,agilent technologies
Agilysys ,AGYS,agilysys ,agilysys
Agios Pharmaceuticals ,AGIO,agios pharmaceuticals ,agios pharmaceuticals
AgroFresh Solutions ,AGFS,agrofresh solutions ,agrofresh solutions
Aimmune Therapeutics ,AIMT,aimmune therapeutics ,aimmune therapeutics
Aina Le'a ,AIZY,aina le'a ,aina le'a
Air Methods ,AIRM,air methods ,air methods
Air Products & Chemicals ,APD,air products & chemicals ,air products &
Air T ,AIRT,air t ,air t
Air Transport Services Group ,ATSG,air transport services group ,air transport services
Airgain ,AIRG,airgain ,airgain
AirMedia Group  (ADR),AMCN,airmedia group  (adr),airmedia group
Akamai Technologies ,AKAM,akamai technologies ,akamai technologies
Akari Therapeutics  (ADR),AKTX,akari therapeutics  (adr),akari therapeutics
Akebia Therapeutics ,AKBA,akebia therapeutics ,akebia therapeutics
Akers Biosciences ,AKER,akers biosciences ,akers biosciences
Akorn ,AKRX,akorn ,akorn
Akoustis Technologies ,AKTS,akoustis technologies ,akoustis technologies
AlarmCom Hldg ,ALRM,alarmcom hldg ,alarmcom hldg
Alaska Air Group ,ALK,alaska air group ,alaska air group
Alaska Communications Systems Group ,ALSK,alaska communications systems group ,alaska communications systems
Albany Molecular Research ,AMRI,albany molecular research ,albany molecular research
Albemarle ,ALB,albemarle ,albemarle
Alcentra Capital ,ABDC,alcentra capital ,alcentra capital
Alcobra ,ADHD,alcobra ,alcobra
Alder Biopharmaceuticals ,ALDR,alder biopharmaceuticals ,alder biopharmaceuticals
Aldeyra Therapeutics ,ALDX,aldeyra therapeutics ,aldeyra therapeutics
Alexandria Real Estate Equities,ARE,alexandria real estate equities,alexandria real estate
Alexion Pharmaceuticals,ALXN,alexion pharmaceuticals,alexion pharmaceuticals
Alico ,ALCO,alico ,alico
Align Technology,ALGN,align technology,align technology
Alimera Sciences ,ALIM,alimera sciences ,alimera sciences
ALJ Regional Holdings ,ALJJ,alj regional holdings ,alj regional holdings
Alkermes ,ALKS,alkermes ,alkermes
Allegiance Bancshares ,ABTX,allegiance bancshares ,allegiance bancshares
Allegiant Travel Company,ALGT,allegiant travel company,allegiant travel company
Allegion,ALLE,allegion,allegion
Alliance Ban  of Pennsylvania,ALLB,alliance ban  of pennsylvania,alliance ban
Alliance Bankshares oration (Inactive),ABVA,alliance bankshares oration (inactive),alliance bankshares oration
Alliance Data Systems,ADS,alliance data systems,alliance data systems
Alliance Fiber Optic Products ,AFOP,alliance fiber optic products ,alliance fiber optic
Alliance Financial oration (Inactive),ALNC,alliance financial oration (inactive),alliance financial oration
Alliance HealthCare Services ,AIQ,alliance healthcare services ,alliance healthcare services
Alliance Holdings GP LP,AHGP,alliance holdings gp lp,alliance holdings gp
Alliance MMA ,AMMA,alliance mma ,alliance mma
Alliance Resource Partners LP,ARLP,alliance resource partners lp,alliance resource partners
Alliant Energy ,LNT,alliant energy ,alliant energy
Allied Healthcare Products ,AHPI,allied healthcare products ,allied healthcare products
Allied Motion Technologies ,AMOT,allied motion technologies ,allied motion technologies
Alliqua Biomedical ,ALQA,alliqua biomedical ,alliqua biomedical
Allos Therapeutics  (Inactive),ALTH,allos therapeutics  (inactive),allos therapeutics
Allot Communications ,ALLT,allot communications ,allot communications
Allscripts Healthcare Solutions ,MDRX,allscripts healthcare solutions ,allscripts healthcare solutions
Allstate ,ALL,allstate ,allstate
Almost Family ,AFAM,almost family ,almost family
Alnylam Pharmaceuticals ,ALNY,alnylam pharmaceuticals ,alnylam pharmaceuticals
Aha and Omega Semiconductor ,AOSL,aha and omega semiconductor ,aha and omega
AhaMark Actively Managed Small Cap ETF,SMCP,ahamark actively managed small cap etf,ahamark actively managed
Ahatec Holdings ,ATEC,ahatec holdings ,ahatec holdings
Altera oration,ALTR,altera oration,altera oration
Alterra Capital Holdings ,ALTE,alterra capital holdings ,alterra capital holdings
AltheaDx ,IDGX,altheadx ,altheadx
Altimmune ,ALT,altimmune ,altimmune
Altisource Portfolio Solutions SA,ASPS,altisource portfolio solutions sa,altisource portfolio solutions
Altra Industrial Motion ,AIMC,altra industrial motion ,altra industrial motion
Altria Group ,MO,altria group ,altria group
AMAG Pharmaceuticals ,AMAG,amag pharmaceuticals ,amag pharmaceuticals
Amarin oration  (ADR),AMRN,amarin oration  (adr),amarin oration
AMark Precious Metals ,AMRK,amark precious metals ,amark precious metals
Amaya ,AYA,amaya ,amaya
Amazon ,AMZN,amazon ,amazon
Ambac Financial Group ,AMBC,ambac financial group ,ambac financial group
Ambarella ,AMBA,ambarella ,ambarella
Ambit Biosciences ,AMBI,ambit biosciences ,ambit biosciences
Ambrx ,AMBX,ambrx ,ambrx
AMC Networks ,AMCX,amc networks ,amc networks
Amcor plc,AMCR,amcor plc,amcor plc
Amdocs Limited,DOX,amdocs limited,amdocs limited
Amedica oration,AMDA,amedica oration,amedica oration
Amedisys ,AMED,amedisys ,amedisys
AMERCO,UHAL,amerco,amerco
Ameren ,AEE,ameren ,ameren
Ameriana Ban,ASBI,ameriana ban,ameriana ban
America First Multifamily Investors ,ATAX,america first multifamily investors ,america first multifamily
America's CarMart ,CRMT,america's carmart ,america's carmart
American Airlines Group,AAL,american airlines group,american airlines group
American Capital ,ACAS,american capital ,american capital
American Capital Senior Floating ,ACSF,american capital senior floating ,american capital senior
American Dental Partners  (Inactive),ADPI,american dental partners  (inactive),american dental partners
American Electric Power,AEP,american electric power,american electric power
American Electric Technologies ,AETI,american electric technologies ,american electric technologies
American Express Co,AXP,american express co,american express co
American Independence ,AMIC,american independence ,american independence
American International Group,AIG,american international group,american international group
American Medical Alert (Inactive),AMAC,american medical alert (inactive),american medical alert
American National BankShares ,AMNB,american national bankshares ,american national bankshares
American National Insurance Company,ANAT,american national insurance company,american national insurance
American Outdoor Brands ,AOBC,american outdoor brands ,american outdoor brands
American Pacific oration,APFC,american pacific oration,american pacific oration
American Public Education ,APEI,american public education ,american public education
American Railcar Industries ,ARII,american railcar industries ,american railcar industries
American Realty Capital Healthcar Tr ,HCT,american realty capital healthcar tr ,american realty capital
American River Bankshares,AMRB,american river bankshares,american river bankshares
American Science & Engineering ,ASEI,american science & engineering ,american science &
American Software ,AMSWA,american software ,american software
American Superconductor oration,AMSC,american superconductor oration,american superconductor oration
American Tower ,AMT,american tower ,american tower
American Water Works Company ,AWK,american water works company ,american water works
American Woodmark oration,AMWD,american woodmark oration,american woodmark oration
Ameriprise Financial,AMP,ameriprise financial,ameriprise financial
Ameriquest ,AMQ,ameriquest ,ameriquest
Ameris Ban,ABCB,ameris ban,ameris ban
Amerisafe ,AMSF,amerisafe ,amerisafe
AmeriServ Financial ,ASRV,ameriserv financial ,ameriserv financial
AmerisourceBergen ,ABC,amerisourcebergen ,amerisourcebergen
Ameristar Casinos ,ASCA,ameristar casinos ,ameristar casinos
Ames National oration,ATLO,ames national oration,ames national oration
AMETEK ,AME,ametek ,ametek
Amgen ,AMGN,amgen ,amgen
Amgen Rockville  (Inactive),MITI,amgen rockville  (inactive),amgen rockville
Amicus Therapeutics ,FOLD,amicus therapeutics ,amicus therapeutics
Amkor Technology ,AMKR,amkor technology ,amkor technology
Amphastar Pharmaceuticals ,AMPH,amphastar pharmaceuticals ,amphastar pharmaceuticals
Amphenol ,APH,amphenol ,amphenol
Amplify Online Retail ETF,IBUY,amplify online retail etf,amplify online retail
Amsurg   5250% Mandatory Convertible Preferred Stock Series A1,AMSGP,amsurg   5250% mandatory convertible preferred stock series a1,amsurg
Amtech Systems ,ASYS,amtech systems ,amtech systems
AmTrust Financial Services ,AFSI,amtrust financial services ,amtrust financial services
Amylin Pharmaceuticals LLC (Inactive),AMLN,amylin pharmaceuticals llc (inactive),amylin pharmaceuticals llc
Amyris ,AMRS,amyris ,amyris
Anacor Pharmaceuticals ,ANAC,anacor pharmaceuticals ,anacor pharmaceuticals
ANADIGICS ,ANAD,anadigics ,anadigics
Anadys Pharmaceuticals ,ANDS,anadys pharmaceuticals ,anadys pharmaceuticals
Analog Devices ,ADI,analog devices ,analog devices
Analogic oration,ALOG,analogic oration,analogic oration
Analysts International oration (Inactive),ANLY,analysts international oration (inactive),analysts international oration
AnaptysBio ,ANAB,anaptysbio ,anaptysbio
Anaren  (Inactive),ANEN,anaren  (inactive),anaren (inactive)
Anavex Life Sciences ,AVXL,anavex life sciences ,anavex life sciences
Ancestry LLC (Inactive),ACOM,ancestry llc (inactive),ancestry llc (inactive)
Anchor Ban,ANCB,anchor ban,anchor ban
Anchor Ban Wisconsin  (DE),ABCW,anchor ban wisconsin  (de),anchor ban wisconsin
Andersons ,ANDE,andersons ,andersons
Andina Acquisition ,TGLS,andina acquisition ,andina acquisition
Angie's List ,ANGI,angie's list ,angie's list
AngioDynamics ,ANGO,angiodynamics ,angiodynamics
ANI Pharmaceuticals ,ANIP,ani pharmaceuticals ,ani pharmaceuticals
Anika Therapeutics ,ANIK,anika therapeutics ,anika therapeutics
Annapolis Ban ,ANNB,annapolis ban ,annapolis ban
ANSYS,ANSS,ansys,ansys
Antares Pharma ,ATRS,antares pharma ,antares pharma
Anterios ,ANTE,anterios ,anterios
Anthem,ANTM,anthem,anthem
Anthera Pharmaceuticals ,ANTH,anthera pharmaceuticals ,anthera pharmaceuticals
Aon plc,AON,aon plc,aon plc
Aoxin Tianli Group ,ABAC,aoxin tianli group ,aoxin tianli group
Apache oration,APA,apache oration,apache oration
Apartment Investment & Management,AIV,apartment investment & management,apartment investment &
Apco Oil and Gas International ,APAGF,apco oil and gas international ,apco oil and
Aperion Biologics ,ZLIG,aperion biologics ,aperion biologics
API Technologies ,ATNY,api technologies ,api technologies
Apigee ,APIC,apigee ,apigee
Apogee Enterprises ,APOG,apogee enterprises ,apogee enterprises
Apollo Education Group ,APOL,apollo education group ,apollo education group
Apollo Endosurgery ,APEN,apollo endosurgery ,apollo endosurgery
Apollo Investment ,AINV,apollo investment ,apollo investment
AppDynamics ,APPD,appdynamics ,appdynamics
AppFolio ,APPF,appfolio ,appfolio
Appian ,APPN,appian ,appian
Apple ,AAPL,apple ,apple
Appliance Recycling Centers of America,ARCI,appliance recycling centers of america,appliance recycling centers
Applied DNA Sciences ,APDN,applied dna sciences ,applied dna sciences
Applied Genetic Technologies ,AGTC,applied genetic technologies ,applied genetic technologies
Applied Materials ,AMAT,applied materials ,applied materials
Applied Micro Circuits oration,AMCC,applied micro circuits oration,applied micro circuits
Applied Optoelectronics ,AAOI,applied optoelectronics ,applied optoelectronics
Approach Resources ,AREX,approach resources ,approach resources
Apptio ,APTI,apptio ,apptio
Apricus Biosciences ,APRI,apricus biosciences ,apricus biosciences
Aptevo Therapeutics ,APVO,aptevo therapeutics ,aptevo therapeutics
Aptiv PLC,APTV,aptiv plc,aptiv plc
Aptose Biosciences ,APTO,aptose biosciences ,aptose biosciences
Aqua Metals ,AQMS,aqua metals ,aqua metals
AquaBounty Technologies ,AQB,aquabounty technologies ,aquabounty technologies
Aquasition ,KBSF,aquasition ,aquasition
Aquinox Pharmaceuticals ,AQXP,aquinox pharmaceuticals ,aquinox pharmaceuticals
Aradigm oration,ARDM,aradigm oration,aradigm oration
Aralez Pharmaceuticals ,ARLZ,aralez pharmaceuticals ,aralez pharmaceuticals
Aratana Therapeutics ,PETX,aratana therapeutics ,aratana therapeutics
Arbutus Biopharma ,ABUS,arbutus biopharma ,arbutus biopharma
ARC Group WorldWide ,ARCW,arc group worldwide ,arc group worldwide
Arca Biopharma ,ABIO,arca biopharma ,arca biopharma
Arcadia Biosciences ,RKDA,arcadia biosciences ,arcadia biosciences
ArcBest ,ARCB,arcbest ,arcbest
Archer-Daniels-Midland Co,ADM,archer-daniels-midland co,archer-daniels-midland co
Archipelago Learning ,ARCL,archipelago learning ,archipelago learning
Archrock Partners ,APLP,archrock partners ,archrock partners
Arctic Cat ,ACAT,arctic cat ,arctic cat
Ardea Biosciences  (Inactive),RDEA,ardea biosciences  (inactive),ardea biosciences
Ardelyx ,ARDX,ardelyx ,ardelyx
Arden Group  (Inactive),ARDNA,arden group  (inactive),arden group
Arena Pharmaceuticals ,ARNA,arena pharmaceuticals ,arena pharmaceuticals
Ares Capital oration,ARCC,ares capital oration,ares capital oration
argenx SE  American Depositary Shares,ARGX,argenx se  american depositary shares,argenx se
Argo Group International Holdings ,AGII,argo group international holdings ,argo group international
Argos Therapeutics ,ARGS,argos therapeutics ,argos therapeutics
ARI Network Services ,ARIS,ari network services ,ari network services
Ariad Pharmaceuticals ,ARIA,ariad pharmaceuticals ,ariad pharmaceuticals
Ariba  (Inactive),ARBA,ariba  (inactive),ariba (inactive)
Arista Networks,ANET,arista networks,arista networks
Ark Restaurants ,ARKR,ark restaurants ,ark restaurants
ARM Holdings  (ADR),ARMH,arm holdings  (adr),arm holdings
Arotech oration,ARTX,arotech oration,arotech oration
ArQule ,ARQL,arqule ,arqule
Array Biopharma ,ARRY,array biopharma ,array biopharma
ARRIS International ,ARRS,arris international ,arris international
Arrow Financial oration,AROW,arrow financial oration,arrow financial oration
Arrow Investments Trust,DWAT,arrow investments trust,arrow investments trust
Arrowhead Pharmaceuticals ,ARWR,arrowhead pharmaceuticals ,arrowhead pharmaceuticals
Artesian Resources oration,ARTNA,artesian resources oration,artesian resources oration
ArthroCare oration (Inactive),ARTC,arthrocare oration (inactive),arthrocare oration (inactive)
Arthur J Gallagher & Co,AJG,arthur j gallagher & co,arthur j gallagher
ArtsWay Manufacturing Co ,ARTW,artsway manufacturing co ,artsway manufacturing co
Aruba Networks ,ARUN,aruba networks ,aruba networks
Asante Solutions ,PUMP,asante solutions ,asante solutions
ASB Ban ,ASBB,asb ban ,asb ban
Ascena Retail Group ,ASNA,ascena retail group ,ascena retail group
Ascendis Pharma A/S,ASND,ascendis pharma a/s,ascendis pharma a/s
Ascent Capital Group ,ASCMA,ascent capital group ,ascent capital group
Asia Pacific Wire & Cable,APWC,asia pacific wire & cable,asia pacific wire
AsiainfoLinkage ,ASIA,asiainfolinkage ,asiainfolinkage
ASML Holding NV (ADR),ASML,asml holding nv (adr),asml holding nv
Aspen Technology ,AZPN,aspen technology ,aspen technology
Assembly Biosciences ,ASMB,assembly biosciences ,assembly biosciences
Asset Acceptance Capital  (Inactive),AACC,asset acceptance capital  (inactive),asset acceptance capital
Assurant,AIZ,assurant,assurant
Asta Funding ,ASFI,asta funding ,asta funding
Astec Industries ,ASTE,astec industries ,astec industries
Astex Pharmaceuticals ,ASTX,astex pharmaceuticals ,astex pharmaceuticals
Astronics oration,ATRO,astronics oration,astronics oration
AstroNova ,ALOT,astronova ,astronova
Astrotech ,ASTC,astrotech ,astrotech
Asure Software ,ASUR,asure software ,asure software
ASV LLC,ASV,asv llc,asv llc
AT&T ,T,at&t ,at&t
ATA (ADR),ATAI,ata (adr),ata (adr)
Atara Biotherapeutics ,ATRA,atara biotherapeutics ,atara biotherapeutics
athenahealth ,ATHN,athenahealth ,athenahealth
Athenex ,ATNX,athenex ,athenex
Athersys ,ATHX,athersys ,athersys
Atlantic Alliance Partnership ,AAPC,atlantic alliance partnership ,atlantic alliance partnership
Atlantic American oration,AAME,atlantic american oration,atlantic american oration
Atlantic Capital Bancshares ,ACBI,atlantic capital bancshares ,atlantic capital bancshares
Atlantic Coast Financial ,ACFC,atlantic coast financial ,atlantic coast financial
Atlantica Yield ,ABY,atlantica yield ,atlantica yield
Atlanticus Holdings ,ATLC,atlanticus holdings ,atlanticus holdings
Atlas Air Worldwide Holdings ,AAWW,atlas air worldwide holdings ,atlas air worldwide
Atlas Financial Holdings ,AFH,atlas financial holdings ,atlas financial holdings
Atlassian oration ,TEAM,atlassian oration ,atlassian oration
Atmel oration,ATML,atmel oration,atmel oration
ATMI  (Inactive),ATMI,atmi  (inactive),atmi (inactive)
Atmos Energy,ATO,atmos energy,atmos energy
ATN International ,ATNI,atn international ,atn international
Atomera ,ATOM,atomera ,atomera
Atossa Genetics ,ATOS,atossa genetics ,atossa genetics
AtriCure ,ATRC,atricure ,atricure
Atrion oration,ATRI,atrion oration,atrion oration
Attunity ,ATTU,attunity ,attunity
aTyr Pharma ,LIFE,atyr pharma ,atyr pharma
Auburn National Banoration ,AUBN,auburn national banoration ,auburn national banoration
Audentes Therapeutics ,BOLD,audentes therapeutics ,audentes therapeutics
Audeo Oncology ,AURX,audeo oncology ,audeo oncology
Audience ,ADNC,audience ,audience
AudioCodes ,AUDC,audiocodes ,audiocodes
Aurinia Pharmaceuticals ,AUPH,aurinia pharmaceuticals ,aurinia pharmaceuticals
Auris Medical Holding AG,EARS,auris medical holding ag,auris medical holding
Auspex Pharmaceuticals ,ASPX,auspex pharmaceuticals ,auspex pharmaceuticals
Australia Acquisition ,AACOU,australia acquisition ,australia acquisition
AuthenTec  (Inactive),AUTH,authentec  (inactive),authentec (inactive)
Autobytel ,ABTL,autobytel ,autobytel
Autodesk ,ADSK,autodesk ,autodesk
Autogenomics ,AGMX,autogenomics ,autogenomics
Automatic Data Processing,ADP,automatic data processing,automatic data processing
AutoNavi Holdings  (ADR),AMAP,autonavi holdings  (adr),autonavi holdings
AutoZone ,AZO,autozone ,autozone
Auxilium Pharmaceuticals ,AUXL,auxilium pharmaceuticals ,auxilium pharmaceuticals
AV Homes ,AVHI,av homes ,av homes
Avadel Pharmaceuticals   American Depositary Shares each representing one Ordinary Share,AVDL,avadel pharmaceuticals   american depositary shares each representing one ordinary share,avadel pharmaceuticals
AvalonBay Communities,AVB,avalonbay communities,avalonbay communities
Avanir Pharmaceuticals  (Inactive),AVNR,avanir pharmaceuticals  (inactive),avanir pharmaceuticals
Avast Software BV,AVST,avast software bv,avast software bv
Avenue Financial Holdings ,AVNU,avenue financial holdings ,avenue financial holdings
AVEO Pharmaceuticals ,AVEO,aveo pharmaceuticals ,aveo pharmaceuticals
Avery Dennison ,AVY,avery dennison ,avery dennison
AveXis ,AVXS,avexis ,avexis
Aviat Networks ,AVNW,aviat networks ,aviat networks
Avid Technology ,AVID,avid technology ,avid technology
Avinger ,AVGR,avinger ,avinger
Aviragen Therapeutics ,AVIR,aviragen therapeutics ,aviragen therapeutics
Avis Budget Group ,CAR,avis budget group ,avis budget group
Aware ,AWRE,aware ,aware
Axcelis Technologies ,ACLS,axcelis technologies ,axcelis technologies
AxoGen ,AXGN,axogen ,axogen
Axon Enterprise ,AAXN,axon enterprise ,axon enterprise
Axsome Therapeutics ,AXSM,axsome therapeutics ,axsome therapeutics
AXT ,AXTI,axt ,axt
Azure Midstream Partners ,FISH,azure midstream partners ,azure midstream partners
AzurRx BioPharma ,AZRX,azurrx biopharma ,azurrx biopharma
B Communications ,BCOM,b communications ,b communications
B Riley Financial ,RILY,b riley financial ,b riley financial
Baidu  (ADR),BIDU,baidu  (adr),baidu (adr)
Baker Hughes Co,BKR,baker hughes co,baker hughes co
Balchem oration,BCPC,balchem oration,balchem oration
Baldwin & Lyons ,BWINB,baldwin & lyons ,baldwin & lyons
Ball ,BLL,ball ,ball
Ballard Power Systems  (USA),BLDP,ballard power systems  (usa),ballard power systems
BancFirst oration,BANF,bancfirst oration,bancfirst oration
Ban ,TBBK,ban ,ban
Ban 34 ,BCTF,ban 34 ,ban 34
Ban Rhode Island  (Inactive),BARI,ban rhode island  (inactive),ban rhode island
Banctrust Financial Group  (Inactive),BTFG,banctrust financial group  (inactive),banctrust financial group
Bank Mutual oration,BKMU,bank mutual oration,bank mutual oration
Bank of America ,BAC,bank of america ,bank of america
Bank of Commerce Holdings,BOCH,bank of commerce holdings,bank of commerce
Bank of Granite oration (Inactive),GRAN,bank of granite oration (inactive),bank of granite
Bank Of Kentucky Financial ,BKYF,bank of kentucky financial ,bank of kentucky
Bank of Marin Ban,BMRC,bank of marin ban,bank of marin
Bank of SC oration,BKSC,bank of sc oration,bank of sc
BankFinancial oration,BFIN,bankfinancial oration,bankfinancial oration
Bankwell Financial Group ,BWFG,bankwell financial group ,bankwell financial group
Banner oration,BANR,banner oration,banner oration
Baozun  (ADR),BZUN,baozun  (adr),baozun (adr)
Barrett Business Services ,BBSI,barrett business services ,barrett business services
Bassett Furniture Industries ,BSET,bassett furniture industries ,bassett furniture industries
Baxter International ,BAX,baxter international ,baxter international
Bay Ban ,BYBK,bay ban ,bay ban
Bayer Essure  (Inactive),CPTS,bayer essure  (inactive),bayer essure
Baylake oration,BYLK,baylake oration,baylake oration
Bazaarvoice ,BV,bazaarvoice ,bazaarvoice
BB&T oration  MasonDixon Capital Trust  $25175 Preferred Securities,MSDXP,bb&t oration  masondixon capital trust  $25175 preferred securities,bb&t oration
BBCN Ban ,NARA,bbcn ban ,bbcn ban
BBX Capital oration  BankAtlantic Ban   BBC Capital Trust II 850% Trust Preferred Securities,BBXT,bbx capital oration  bankatlantic ban   bbc capital trust ii 850% trust preferred securities,bbx capital oration
BCB Ban ,BCBP,bcb ban ,bcb ban
BCD Semiconductor Manufacturing (ADR),BCDS,bcd semiconductor manufacturing (adr),bcd semiconductor manufacturing
BCSB Ban  (Inactive),BCSB,bcsb ban  (inactive),bcsb ban
BEACON FEDERAL BAN  (Inactive),BFED,beacon federal ban  (inactive),beacon federal ban
Beacon Roofing Supply ,BECN,beacon roofing supply ,beacon roofing supply
Bear State Financial ,BSF,bear state financial ,bear state financial
Beasley Broadcast Group ,BBGI,beasley broadcast group ,beasley broadcast group
bebe stores ,BEBE,bebe stores ,bebe stores
Becton Dickinson,BDX,becton dickinson,becton dickinson
Bed Bath & Beyond ,BBBY,bed bath & beyond ,bed bath &
Beigene  (ADR),BGNE,beigene  (adr),beigene (adr)
Bellerophon Therapeutics ,BLPH,bellerophon therapeutics ,bellerophon therapeutics
Bellicum Pharmaceuticals ,BLCM,bellicum pharmaceuticals ,bellicum pharmaceuticals
Beneficial Ban ,BNCL,beneficial ban ,beneficial ban
Benefitfocus ,BNFT,benefitfocus ,benefitfocus
Benitec Biopharma  (ADR),BNTC,benitec biopharma  (adr),benitec biopharma
Berkshire BK (CBT Branch) (Inactive),CTBC,berkshire bk (cbt branch) (inactive),berkshire bk (cbt
Berkshire Hathaway,BRKA,berkshire hathaway,berkshire hathaway
Best Buy Co ,BBY,best buy co ,best buy co
